objid,type,ra,dec,u,g,r,i,z,redshift
1237671939804561466,GALAXY,258.14536146992,64.0707039556691,17.96586,15.43528,14.45425,13.74995,13.69962,Null
1237671939804561468,GALAXY,258.096472713234,64.0325247558209,19.74413,17.56668,16.5453,16.11852,15.78846,0.07981008
1237671939804561470,GALAXY,258.208366383736,64.0529482205171,19.22208,17.00105,16.03318,15.59466,15.34225,0.07395603
1237671939804561472,GALAXY,258.170986933579,64.0726965378591,19.24469,17.0818,16.12346,15.65043,15.33794,0.0834782
1237671939804561475,GALAXY,258.213356620306,64.0731695837472,19.24982,17.20155,16.26258,15.75252,15.49401,0.07390364
1237671939804561476,GALAXY,258.119946070518,64.0607482946166,17.35083,14.94665,14.0375,13.56921,13.33719,0.07343803
1237671939804561487,GALAXY,258.080537265349,64.0356334104144,18.81614,16.63012,15.65813,15.25769,15.02383,0.08261043
1237671939804561603,GALAXY,258.226782235334,63.9924176935157,18.13377,16.21136,15.26339,14.83432,14.50581,0.08285826
1237671939804561642,GALAXY,258.24026130708,64.0510324043104,19.98869,18.03933,17.15539,16.76332,16.51385,0.07399645
1237671939804561927,GALAXY,258.135151517819,64.0028043403084,18.50986,16.514,15.54687,15.11602,14.77579,0.0849261
1237671939804561934,GALAXY,258.126946430771,64.0165992099336,19.72195,17.61121,16.67022,16.24324,15.90662,0.08224989
1237671939804626958,GALAXY,258.31582624186,64.051847399259,18.72445,16.54134,15.58639,15.13234,14.83273,Null
1237671939804626959,GALAXY,258.371305359595,64.0468693036784,17.81879,15.6649,14.64762,14.22721,13.90421,0.07843956
1237671939804626960,GALAXY,258.343897730875,64.0489907644879,19.05873,17.08336,16.15984,15.72958,15.39665,Null
1237671939804627265,GALAXY,258.265722450296,64.1171180093868,18.49716,16.4852,15.5344,15.09496,14.75453,0.08092269
1237671939804627306,GALAXY,258.340516630173,64.0690707331199,18.71745,16.65773,15.71131,15.28201,14.95813,0.0761909
1237671939804627307,GALAXY,258.329332577072,64.0768468165111,18.16275,16.11195,15.15861,14.73168,14.4307,0.08112399
